NFP,非农就业报告
nonfarm payrolls,非农就业报告
Federal Reserve,美联储
Fed,美联储
front end,收益率曲线短端
back end,收益率曲线长端
yield curve,收益率曲线
curve steepening,收益率曲线陡峭化
steepening trade,曲线陡峭化交易
Treasury yield,美国国债收益率
Treasury yields,美国国债收益率
real rate,实际利率
real rates,实际利率
rate wagers,利率押注
rate cuts,降息
rate hike,加息
reprice a hike,重新计入加息预期
behind the curve,落后于形势
basis point,基点
basis points,基点
cross-asset,跨资产
term premium,期限溢价
breakeven inflation,盈亏平衡通胀率
financial conditions,金融状况
credit spreads,信贷利差
investment grade,投资级
high-yield bonds,高收益债券
dovish,鸽派
hawkish,鹰派
quantitative tightening,量化紧缩
quantitative easing,量化宽松
capital expenditure,资本开支
CapEx,资本开支
liquidity,流动性
soft landing,软着陆
hard landing,硬着陆
price in,计入价格
priced in,已计入价格
selloff,抛售
risk-off,避险
risk-on,风险偏好回升
